0,1,2
Genesis 1:1,בראשית,913
Genesis 1:1,ברא,203
Genesis 1:1,אלהים,86
Genesis 1:1,את,401
Genesis 1:1,השמים,395
Genesis 1:1,ואת,407
Genesis 1:1,הארץ,296
Genesis 1:2,והארץ,302
Genesis 1:2,היתה,420
Genesis 1:2,תהו,411
Genesis 1:2,ובהו,19
Genesis 1:2,וחשך,334
Genesis 1:2,על,100
Genesis 1:2,פני,140
Genesis 1:2,תהום,451
Genesis 1:2,ורוח,220
Genesis 1:2,אלהים,86
Genesis 1:2,מרחפת,728
Genesis 1:2,על,100
Genesis 1:2,פני,140
Genesis 1:2,המים,95
Genesis 1:3,ויאמר,257
Genesis 1:3,אלהים,86
Genesis 1:3,יהי,25
Genesis 1:3,אור,207
Genesis 1:3,ויהי,31
Genesis 1:3,אור,207
Genesis 1:4,וירא,217
Genesis 1:4,אלהים,86
Genesis 1:4,את,401
Genesis 1:4,האור,212
Genesis 1:4,כי,30
Genesis 1:4,טוב,17
Genesis 1:4,ויבדל,52
Genesis 1:4,אלהים,86
Genesis 1:4,בין,62
Genesis 1:4,האור,212
Genesis 1:4,ובין,68
Genesis 1:4,החשך,333
Genesis 1:5,ויקרא,317
Genesis 1:5,אלהים,86
Genesis 1:5,לאור,237
Genesis 1:5,יום,56
Genesis 1:5,ולחשך,364
Genesis 1:5,קרא,301
Genesis 1:5,לילה,75
Genesis 1:5,ויהי,31
Genesis 1:5,ערב,272
Genesis 1:5,ויהי,31
Genesis 1:5,בקר,302
Genesis 1:5,יום,56
Genesis 1:5,אחד,13
Genesis 1:6,ויאמר,257
Genesis 1:6,אלהים,86
Genesis 1:6,יהי,25
Genesis 1:6,רקיע,380
Genesis 1:6,בתוך,428
Genesis 1:6,המים,95
Genesis 1:6,ויהי,31
Genesis 1:6,מבדיל,86
Genesis 1:6,בין,62
Genesis 1:6,מים,90
Genesis 1:6,למים,120
Genesis 1:7,ויעש,386
Genesis 1:7,אלהים,86
Genesis 1:7,את,401
Genesis 1:7,הרקיע,385
Genesis 1:7,ויבדל,52
Genesis 1:7,בין,62
Genesis 1:7,המים,95
Genesis 1:7,אשר,501
Genesis 1:7,מתחת,848
Genesis 1:7,לרקיע,410
Genesis 1:7,ובין,68
Genesis 1:7,המים,95
Genesis 1:7,אשר,501
Genesis 1:7,מעל,140
Genesis 1:7,לרקיע,410
Genesis 1:7,ויהי,31
Genesis 1:7,כן,70
Genesis 1:8,ויקרא,317
Genesis 1:8,אלהים,86
Genesis 1:8,לרקיע,410
Genesis 1:8,שמים,390
Genesis 1:8,ויהי,31
Genesis 1:8,ערב,272
Genesis 1:8,ויהי,31
Genesis 1:8,בקר,302
Genesis 1:8,יום,56
Genesis 1:8,שני,360
Genesis 1:9,ויאמר,257
Genesis 1:9,אלהים,86
Genesis 1:9,יקוו,122
Genesis 1:9,המים,95
Genesis 1:9,מתחת,848
Genesis 1:9,השמים,395
Genesis 1:9,אל,31
Genesis 1:9,מקום,186
Genesis 1:9,אחד,13
Genesis 1:9,ותראה,612
Genesis 1:9,היבשה,322
Genesis 1:9,ויהי,31
Genesis 1:9,כן,70
Genesis 1:10,ויקרא,317
Genesis 1:10,אלהים,86
Genesis 1:10,ליבשה,347
Genesis 1:10,ארץ,291
Genesis 1:10,ולמקוה,187
Genesis 1:10,המים,95
Genesis 1:10,קרא,301
Genesis 1:10,ימים,100
Genesis 1:10,וירא,217
Genesis 1:10,אלהים,86
Genesis 1:10,כי,30
Genesis 1:10,טוב,17
Genesis 1:11,ויאמר,257
Genesis 1:11,אלהים,86
Genesis 1:11,תדשא,705
Genesis 1:11,הארץ,296
Genesis 1:11,דשא,305
Genesis 1:11,עשב,372
Genesis 1:11,מזריע,327
Genesis 1:11,זרע,277
Genesis 1:11,עץ,160
Genesis 1:11,פרי,290
Genesis 1:11,עשה,375
Genesis 1:11,פרי,290
Genesis 1:11,למינו,136
Genesis 1:11,אשר,501
Genesis 1:11,זרעו,283
Genesis 1:11,בו,8
Genesis 1:11,על,100
Genesis 1:11,הארץ,296
Genesis 1:11,ויהי,31
Genesis 1:11,כן,70
Genesis 1:12,ותוצא,503
Genesis 1:12,הארץ,296
Genesis 1:12,דשא,305
Genesis 1:12,עשב,372
Genesis 1:12,מזריע,327
Genesis 1:12,זרע,277
Genesis 1:12,למינהו,141
Genesis 1:12,ועץ,166
Genesis 1:12,עשה,375
Genesis 1:12,פרי,290
Genesis 1:12,אשר,501
Genesis 1:12,זרעו,283
Genesis 1:12,בו,8
Genesis 1:12,למינהו,141
Genesis 1:12,וירא,217
Genesis 1:12,אלהים,86
Genesis 1:12,כי,30
Genesis 1:12,טוב,17
Genesis 1:13,ויהי,31
Genesis 1:13,ערב,272
Genesis 1:13,ויהי,31
Genesis 1:13,בקר,302
Genesis 1:13,יום,56
Genesis 1:13,שלישי,650
Genesis 1:14,ויאמר,257
Genesis 1:14,אלהים,86
Genesis 1:14,יהי,25
Genesis 1:14,מארת,641
Genesis 1:14,ברקיע,382
Genesis 1:14,השמים,395
